taxon_code,sp_beast2,status,status2,disturbance_sp,elevation_sp,number_population,NCUR_m2_heliconius,NANC_m2_heliconius,T_m2_heliconius,T_m2_heliconius_t,NCUR_m1_honeybee,NANC_m1_honeybee,T_m1_honeybee,T_m1_honeybee_t,NCUR_m3_aphids,NANC_m3_aphids,T_m3_aphids,T_m3_aphids_t,NCUR_m4_silkworm,NANC_m4_silkworm,T_m4_silkworm,T_m4_silkworm_t,mean disturbance,mean elevation
ooceraea_crypta,Ooceraea.crypta_EGP0099F12_Fiji,endemic,1,4.11428571,525.222,1,339874960,9006960,4159,24.29204108,38800579,8674388,5893,19.55641551,70944729,11611175,5279,18.01194272,2783401,576653,186,0.635383254,1.888888889,525.222
ooceraea_fj06,Ooceraea.fj06_EGP0100B10_Fiji,endemic,1,4.052657,339.4736842,7,159392437.9,78129079.29,64114.71429,374.4835954,6749543,89760932.29,64372.42857,213.6253115,34915954.43,937974604.1,100379.7143,342.4954848,30196364.71,66726508.14,49763,169.9923488,1.947368421,339.4736842
ooceraea_fuscior,Ooceraea.fuscior_EGP0099G11_Fiji,endemic,1,4.076923077,350,2,261918244.5,585347.5,80878.5,472.3981353,4296928,2132868,86239,286.1913656,224415230,7284106,202651,691.4450093,2186962,1700444,80058,273.4812503,1.923076923,350
paraparatrechina_oceanica,Paraparatrechina.oceanica_EGP0138A07_Fiji,endemic,1,4.279411765,362.8088235,6,2536586.167,332406396.7,247521.8333,1445.734682,1090820.333,389992003.8,152400,505.7522016,5685875.5,3616143479,399241.5,1362.211599,2402735.167,273102209,155710.8333,531.9142794,1.720588235,362.8088235
pheidole_bula,Pheidole.colaensis_EGP0016A08_Fiji,endemic,1,4.5,937.61,1,683772,630342709,419840,2452.217006,855581,763332078,408940,1357.101741,5057886,4530730927,342795,1169.616197,612304,533175880,341632,1167.028236,1.5,333.5
pheidole_colaensis,Pheidole.bula_EGP0016A02_Fiji,endemic,1,5,333.5,1,5839973,142419052,36792,214.8960749,10827001,163736422,72370,240.1659241,10301958,35730683,58882,200.9053251,9035616,119326919,73588,251.3794779,1,885.2857143
pheidole_fervens,Pheidole.fervens_EGP0019A05_Fiji,widespread Pacific native,2,2.731707317,304.3658537,2,85087633.5,9898885.5,489,2.856169293,99840449,9021673.5,280.5,0.930862812,181988143,9514819.5,503,1.716235497,69911609.5,9201497,334.5,1.142665046,3.268292683,304.3658537
pheidole_kava,Pheidole.kava_EGP0027D12_Fiji,endemic,1,4.615384615,527.1538462,2,4739394.5,210950446.5,57485.5,335.7634354,6046033.5,241862913,104771.5,347.6930236,3516333,2646535509,88543.5,302.1103335,504075,171223328,17820,60.87381498,1.384615385,527.1538462
pheidole_megacephala,Pheidole.megacephala_EGP0019C04_Fiji,exotic,3,2.6,150.4444444,2,105735951.5,1685218,41527,242.5524381,121355813,4055967.5,23332,77.42920189,1262049680,3608779,14942.5,50.98379506,87266091.5,4910933,25048.5,85.56665289,3.4,150.4444444
pheidole_onifera,Pheidole.onifera_EGP0016H09_Fiji,endemic,1,4.333333333,356.3333333,4,2860427.75,287238064.8,86987.5,508.0798085,1303664.5,332737556.8,92631,307.4037545,5930688.5,3251573501,304530.25,1039.056908,483990.5,236976054.8,58133.5,198.5863032,1.666666667,356.3333333
pheidole_roosevelti,Pheidole.roosevelti_EGP0016D06_Fiji,endemic,1,4.785714286,529.9285714,5,5031399.2,229141630.4,103194,602.7393334,2828081.4,266780463.6,73259,243.1161453,5896548.8,2600073250,119900,409.0986801,2317333.2,188154077.8,54897.8,187.5330258,1.214285714,529.9285714
