species,tree_id,endemic_class,Disturbance,Elevation,Locality.Code,Disturbance_old_coding
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,1,Korotogo Beach,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,4,10,Lami Industrial 2,1
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,4,1,Lautoka Port - south,1
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,38,Lololo Forest 2,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,92,Lololo Forest 3,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,80,Lololo Forest 5,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,116,Lololo-Vakabuli Rd,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,91,Momi Guns Rd,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,160,Mt Korobaba 1,3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,160,Mt Korobaba 2,3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,787,Nadarivatu Rd to Tavua 2,3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,5,Natadola beach NW,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,4,0,Newtown Beach,1
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,4,1,Newtown Hostels,1
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,0,Queens Rd,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,78,Queens Rd to Sigatoka 2,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,20,Rewa Delta 1,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,4,17,"Royal Palm Rd, Lautoka",1
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,64,Sigatoka 1,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,38,Sigatoka 3,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,5,Sigatoka Sand Dunes 3,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,107,Sigatoka Valley 2 - Naliko Rd,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,1,Uciwai Landing,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,0,Vatia Point,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,0,Vatia Point Rd Junction,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,0,Vatia Point Wharf,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,22,"Vatukonia Rd2,  Vatukonia Mine",2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,33,"Volivoli road 1, Ellington Wharf",2
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,60,"FIJI Kadavu: Kadavu Prov. Moanakaka Bird Sanctuary, 250m SW Soladamu Village",4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,40,"FIJI Viti Levu: Ocean Pacific Resort, 2  km SE Nabukavesi Village",4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,235,"FIJI Taveuni: Mt. Koronibuabua, 3.2  km NW Lavena Village",4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,800,"FIJI Viti Levu: Mt. Evans Range, Koroyanitu Eco Park, Kokabula Trail, 1  km E Abaca Village",4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,800,"FIJI Viti Levu: Mt. Evans Range, Koroyanitu Eco Park, Savuione Trail, 1  km E Abaca Village",4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,1,115,"FIJI Koro I.: Lomaiviti Prov. 2.1 km SW Nabuna Village, nr. Wailolo Creek",4
Camponotus.chloroticus,Camponotus.chloroticus.EGP0071D10.Fiji,widespread pacific native,0,4,FIJI Macuata I: Vunitogoloa,5
