sp,sp_beast,pop1 ,pop2,distance,fst,same island,endemic1,radiation1,category
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,LK,MC,124.7110316,0.113465053,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,MC,VN,128.3835948,0.111728157,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KV,LK,129.7403451,0.039126133,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,GA,131.5775141,0.014449278,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,TA,140.0488196,0.002375031,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,LK,VL,144.1100028,0.007235827,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KR,MC,145.9171291,0.032996551,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,VN,146.9418131,0.025440454,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,MC,148.1812421,0.016026119,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KR,ML,151.0129483,0.058082163,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KV,VL,167.1473189,0.071779324,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,LK,VN,173.410549,0.00494804,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,KR,185.1310266,0.019537169,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,VL,185.3286475,0.031986528,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,KV,185.3480202,0.060897596,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,ML,188.2765963,0.02788473,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,ML,TA,189.6578825,0.001208361,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,VL,VN,189.9997411,0.040418248,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,LK,TA,191.5693709,0.021268139,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KV,MC,195.282175,0.017072073,0,2,3,widespread pacific native
