sp,sp_beast2,pop,Disturbance,Elevation,Latitude,Longitude,model,status1,status2,T_real,na,nc
hypoponera_monticola,Hypoponera.monticola_EGP0094C04_Fiji,hypoponera_monticola_vn,4,420.5833333,-16.629,179.211,instantaneous,endemic,1,6346822.939,371387.9463,60016.29212
iridomyrmex_anceps,Iridomyrmex.anceps_EGP0068B09_Fiji,iridomyrmex_anceps_vl,3.625,304.375,-17.7478,177.677,instantaneous,widespread Pacific native,2,300400.8916,2661.899429,168573.5656
leptogenys_fje02,Leptogenys.FJE02_EGP0095E10_Fiji,leptogenys_fje02_ga,5,530,-17.9836,179.277,instantaneous,endemic,1,71661.66418,95799.13638,12904.14367
leptogenys_fje02,Leptogenys.FJE02_EGP0095E10_Fiji,leptogenys_fje02_vn,4.125,286.5,-16.6301,179.208,exponential,endemic,1,1626286.655,192703.8351,28462.35644
leptogenys_fje02,Leptogenys.FJE02_EGP0095E10_Fiji,leptogenys_fje02_ys,3,132,-16.8522,177.469,instantaneous,endemic,1,319481.5426,171066.0415,24992.74866
leptogenys_fje05,Leptogenys.FJE05_EGP0096A07_Fiji,leptogenys_fje05_ta,4,436.75,-16.8409,-179.968,instantaneous,endemic,1,2259095.5,67297.08661,48534.65886
leptogenys_fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,leptogenys_fjn01_ta,4.5,702.5,-16.8409,-179.968,instantaneous,endemic,1,102019.96,170288.1197,5517.335078
leptogenys_fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,leptogenys_fjn01_vn,4.333333333,539,-16.6296,179.208,instantaneous,endemic,1,42679.83886,25102.17141,4292.471311
leptogenys_fjn02,Leptogenys.fjn02_EGP0095E11_Fiji,leptogenys_fjn02_ta,4.666666667,1048,-16.8555,-179.889,exponential,endemic,1,247279.2206,124695.7066,2531.322844
leptogenys_letilae,Leptogenys.letilae_EGP0095D08_Fiji,leptogenys_letilae_vl,4.571428571,814,-17.5694,177.97,instantaneous,endemic,1,62965.41599,68534.92788,47001.25354
lordomyrma_striatella,Lordomyrma.striatella_EGP0032F01_Fiji,lordomyrma_striatella_la,5,300,-17.6942,178.825,instantaneous,endemic,1,1376411.877,402786.4957,53127.53878
monomorium_floricola,Monomorium.floricola_EGP0033F05_Fiji,monomorium_floricola_lk,4,100,-18.2294,-178.779,instantaneous,widespread Pacific native,2,972017.3888,9345.470125,43319.05767
monomorium_floricola,Monomorium.floricola_EGP0033F05_Fiji,monomorium_floricola_vl,3.4,160.2,-17.6757,177.97,instantaneous,widespread Pacific native,2,82591.83514,271.6067227,32849.77384
nylanderia_vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,nylanderia_vitiensis_ga,4.888888889,468.4444444,-17.9796,179.276,exponential,endemic,1,1294240.519,12698.47017,380952.8353
nylanderia_vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,nylanderia_vitiensis_kv,4.5,412,-19.1181,177.988,instantaneous,endemic,1,960069.3161,28112.90034,111268.0482
nylanderia_vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,nylanderia_vitiensis_ta,4.2,253,-16.85,-179.893,instantaneous,endemic,1,161361.5579,146096.0151,18130.51547
nylanderia_vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,nylanderia_vitiensis_vl,4.357142857,397.7857143,-18.0589,178.442,instantaneous,endemic,1,8437.43009,50418.78956,9387.978617
nylanderia_vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,nylanderia_vitiensis_vn,4.277777778,373,-16.6814,179.188,instantaneous,endemic,1,826108.3005,14091.00225,83742.8264
